page,municipality,title,amount_text,fixed_amount,status,chunk
area/tokyo/hachijo/seido/883,hachijo,八丈町奨学資金,"月額 大学/短大/専修/医療系技術:国公立38,000円・私立47,000円",,ok,C
area/tokyo/ogasawara/seido/1465,ogasawara,介護保険福祉用具購入費・住宅改修費支給申請,様式規定のみで具体的支給額の記載なし,,no_amount,C
area/tokyo/komae/seido/2172,komae,狛江市奨学資金,src_url 403・中3対象の学資金一部支給だが具体的金額は確認できず,,fetch_failed,C
area/tokyo/koganei/seido/1009,koganei,補装具費支給制度,補装具費の原則1割を自己負担。種目ごとの基準額を超える差額は自己負担（品目別基準額の個別記載なし）,no,ok,D
area/tokyo/koganei/seido/2635,koganei,小金井市 高齢者日常生活用具（福祉用具）給付,"シルバーカー15,000円/一本杖4,300円/電磁調理器15,400円/腰掛便座・入浴補助用具・手すり・スロープは年度毎10万円限度。課税世帯は基準額の10%、非課税世帯は3%負担",no,ok,D
area/tokyo/higashikurume/seido/1258,higashikurume,補装具の購入・修理,住民税の額によって自己負担あり（具体的金額・基準額の記載なし）,no,no_amount,D
area/tokyo/higashikurume/seido/1257,higashikurume,日常生活用具費の支給,住民税の額等によって自己負担あり（具体的金額・基準額の記載なし）,no,no_amount,D
area/tokyo/aogashima/seido/903,aogashima,重度心身障害者日常生活用具給付等,別表で定める給付基準額の10%相当（1割）を業者に支払い（品目別基準額の個別記載なし・要綱本文403のためWebSearchで確認）,no,ok,D
area/tokyo/ome/seido/1403,ome,日常生活用具を給付します,原則、給付内容の1割の金額を負担。生活保護・市民税非課税世帯は給付限度額まで負担なし（品目別基準額はPDF別掲）,no,ok,D
area/tokyo/ome/seido/1402,ome,高齢者日常生活用具の給付,"腰掛便座51,500円/入浴補助用具90,000円/歩行支援用具53,600円/段差解消機50,500円/歩行補助車(シルバーカー)35,100円。自己負担は原則基準額の1割（所得により2～3割）",no,ok,D
area/tokyo/okutama/seido/1442,okutama,補装具・日常生活用具費用補助,費用の一部を補助、所得制限あり（具体的金額・基準額の記載なし）,no,no_amount,D
area/tokyo/akiruno/seido/1416,akiruno,日常生活用具の給付,"特殊寝台162,800円/入浴補助用具90,000円/便器16,500円/特殊便器151,200円/点字ディスプレイ383,500円/携帯用会話補助装置285,000円/居宅生活動作補助用具200,000円 等。所得により自己負担・基準額超過は全額自己負担",no,ok,D
area/tokyo/akiruno/seido/2794,akiruno,あきる野市 障害者等日常生活用具の給付,"特殊寝台162,800円/入浴補助用具90,000円/便器16,500円/特殊便器151,200円/点字ディスプレイ383,500円 等（1416と同一ページ）。所得により自己負担・基準額超過は全額自己負担",no,ok,D
area/tokyo/kodaira/seido/1112,kodaira,補装具費の支給,購入・修理費用の原則1割を自己負担。市民税所得割額46万円以上の場合は対象外（種目別基準額は別ページ）,no,ok,D
area/tokyo/kodaira/seido/1113,kodaira,障害者日常生活用具の給付,原則1割を自己負担。市民税所得割額46万円以上は対象外（品目別基準額は別ページ）,no,ok,D
area/tokyo/shinjuku/seido/2777,shinjuku,新宿区 障害者（児）日常生活用具の給付・補装具の交付,"移動用リフト979,000円/点字ディスプレイ383,500円/携帯用会話補助装置325,000円/温水洗浄便座151,200円/特殊尿器154,500円/特殊寝台162,800円/歩行補助つえ2,200円 等（令和7年4月現在）。所得状況に応じ一部自己負担",no,ok,D
area/tokyo/arakawa/seido/2788,arakawa,荒川区 在宅障害者等 日常生活用具の給付,"ストーマ用装具(消化器系)月8,858円→10,000円（令和8年8月～）、(尿路系)月10,639円→13,000円。世帯の所得税額に応じ自己負担",no,ok,D
area/tokyo/taito/seido/2783,taito,台東区 障害者（児）日常生活用具の給付,区民税所得割額に応じて自己負担（具体的金額・基準額は種目一覧PDF別掲）,no,no_amount,D
area/tokyo/tachikawa/seido/1050,tachikawa,障害者（児）等日常生活用具の給付,利用者負担額は基準額の原則1割（市民税非課税世帯は無料）。品目別基準額はPDF別掲,no,ok,D
area/tokyo/tachikawa/seido/1035,tachikawa,自立支援日常生活用具給付事業,"シルバーカー24,950円/歩行支援用具30,000円/入浴補助用具90,000円/腰掛便座51,500円/一般寝台10,000円/洗髪器15,540円/入浴担架133,900円。前年所得により助成90%/80%/70%（令和8年10月事業廃止予定）",no,ok,D
area/tokyo/nakano/seido/2786,nakano,中野区 障害者 日常生活用具・住宅改善の給付,種目ごとに限度額あり、限度額まで区が負担（具体的金額の記載なし）,no,no_amount,D
area/tokyo/kunitachi/seido/979,kunitachi,障害者（児）日常生活用具給付,各品目に給付限度額あり（具体的金額は種目一覧PDF別掲）,no,no_amount,D
area/tokyo/higashimurayama/seido/1207,higashimurayama,補装具費の支給,作成・修理・借受け費用の原則1割を自己負担、世帯の所得に応じ負担上限月額あり（本文403のためWebSearchで確認・品目別基準額の個別記載なし）,no,ok,D
area/tokyo/musashino/seido/1083,musashino,高齢者等日常生活用具給付,貸与・給付にかかる費用の1割を自己負担（品目別基準額の記載なし）,no,ok,D
area/tokyo/musashino/seido/1092,musashino,補装具費の支給,障害児:費用の5%(市民税所得割46万円未満)/10%(46万円以上)、障害者:費用の5%(46万円未満)。種目ごと基準額の具体額は記載なし,no,ok,D
area/tokyo/musashino/seido/1093,musashino,日常生活用具給付,生活保護・非課税世帯:無料、46万円未満:費用の10%、46万円以上:対象外。排せつ管理支援用具は46万円未満5%/46万円以上10%（品目別基準額はPDF別掲）,no,ok,D
area/tokyo/itabashi/seido/3015,itabashi,板橋区 高齢者日常生活用具給付,生活保護・中国残留邦人等世帯:無料、住民税非課税:用具価格の1割、課税:3割（品目別基準額の記載なし）,no,ok,D
area/tokyo/kita/seido/2787,kita,北区 障害者（児）日常生活用具の購入費用助成,事前相談・所得制限あり（具体的金額・基準額はPDF別掲）,no,no_amount,D
area/tokyo/koto/seido/2779,koto,江東区 心身障害者（児）日常生活用具の給付,"浴槽58,300円/湯沸器104,900円/移動用リフト257,500円/便器16,500円/特殊便器151,200円/特殊尿器154,500円/点字ディスプレイ383,500円/特殊寝台162,800円/携帯用会話補助装置285,000円 等（令和8年4月改正）。原則かかった費用の1割負担・所得により上限あり",no,ok,D
area/tokyo/koto/seido/430,koto,小児慢性特定疾病児童日常生活用具給付事業,扶養義務者の所得に応じ自己負担額を決定、用具ごとの限度額超過分は自己負担（具体的金額は別表PDF別掲）,no,no_amount,D
area/tokyo/hinode/seido/1435,hinode,心身障害者等日常生活用具の給付,費用負担あり（具体的金額・基準額の記載なし）,no,no_amount,D
area/tokyo/hinode/seido/1434,hinode,補装具の交付と修理,費用負担あり（具体的金額・基準額の記載なし）,no,no_amount,D
area/tokyo/oshima/seido/1451,oshima,重度心身障害者（児）日常生活用具給付等事業,"自己負担額は所得階層別（18歳以上）:生活保護0円/非課税0円/C1 2,250円/C2 2,900円/D1 3,450円…D19全額(最低17,120円)。18歳未満は別表第3で別定",no,ok,D
area/tokyo/adachi/seido/2790,adachi,足立区 障害者（児）日常生活用具の給付,"特殊寝台162,800円/移動用リフト300,000円/浴槽(湯沸器含)141,200円/ネブライザー36,000円/電気式たん吸引器56,400円/点字ディスプレイ383,500円/携帯用会話補助装置285,000円/ストーマ装具月額10,000～13,000円 等",no,ok,D
area/tokyo/machida/seido/1360,machida,補装具費の支給,原則として購入・修理額の1割が自己負担。本人・配偶者の市民税所得割額46万円以上は対象外（種目別基準額の個別記載なし）,no,ok,D
area/tokyo/machida/seido/1361,machida,日常生活用具の給付,原則として給付額の1割が自己負担、世帯収入により負担月額上限あり（品目別基準額はPDF別掲）,no,ok,D
area/tokyo/chofu/seido/2634,chofu,調布市 高齢者日常生活用具の給付とレンタル,T字杖:無料、特殊寝台レンタル:月700円、スロープ・入浴補助用具・歩行支援用具・腰掛便座は上限額あり。世帯所得に応じ1割負担,no,ok,D
area/tokyo/fussa/seido/1284,fussa,補装具費給付,世帯所得により費用負担が発生する場合あり、基準額超過は差額自己負担（具体的金額の記載なし）,no,no_amount,D
area/tokyo/fussa/seido/1285,fussa,地域生活支援事業（日常生活用具・移動支援等）,世帯所得により費用負担が発生する場合あり（具体的金額・基準額の記載なし）,no,no_amount,D
area/tokyo/setagaya/seido/2773,setagaya,世田谷区 障害者（児）日常生活用具の給付・補装具の交付,世帯所得に応じ一部負担、生活保護・区民税非課税世帯は無料（品目別基準額はPDF別掲）,no,no_amount,D
area/tokyo/fuchu/seido/2633,fuchu,府中市 高齢者日常生活用具貸与・給付事業,費用の1割を自己負担、生活保護対象者は自己負担なし（品目別基準額はカタログPDF別掲）,no,ok,D
area/tokyo/sumida/seido/2647,sumida,墨田区 高齢者日常生活用具の給付,生涯10万円を限度に給付、所得状況に応じ給付費用の1割・2割・3割を負担（品目別基準額はPDF別掲）,no,ok,D
area/tokyo/hinohara/seido/2795,hinohara,檜原村 障害者（児）日常生活用具給付・補装具費支給,"補装具:利用者負担は原則1割（住民税非課税世帯・生活保護世帯は負担なし）。日常生活用具:世帯所得に応じ自己負担（品目別基準額の個別記載なし）。参考:住宅設備改善 居宅生活動作補助用具基準額200,000円/中規模改修641,000円/屋内移動設備979,000円",no,ok,D
area/tokyo/hino/seido/1028,hino,補装具費の支給,費用の一部もしくは全部を支給（具体的金額・基準額・自己負担割合の記載なし）,no,no_amount,D
area/tokyo/toshimamura/seido/2796,toshimamura,利島村 重度障害者（児）日常生活用具給付・補装具費支給,福祉事業概要ページに制度名の列挙のみで具体的金額・基準額の記載なし,no,no_amount,D
area/tokyo/higashiyamato/seido/1229,higashiyamato,補装具費支給,補装具の購入・修理・借受け費用を支給（具体的金額・基準額・自己負担割合の記載なし）,no,no_amount,D
area/tokyo/nishitokyo/seido/1311,nishitokyo,補装具費の支給,購入等費用（基準額を超える場合は基準額が上限）の1割を負担、非課税世帯は自己負担なし。市町村民税所得割額46万円以上の世帯員がいる場合は対象外（種目別基準額の個別記載なし）,no,ok,D
area/tokyo/kiyose/seido/1156,kiyose,障害者日常生活用具給付,"日常生活用具:費用の10%を自己負担（低所得者に減免措置）。参考:住宅設備改善費基準額 小規模200,000円/中規模641,000円/屋内移動設備 機器979,000円・設置353,000円",no,ok,D
area/tokyo/kiyose/seido/1158,kiyose,補装具の交付と修理,補装具は判定により必要と認められた手帳所持者が対象・介護保険優先。日常生活用具は費用の10%自己負担（同一ページ、補装具の具体的自己負担割合の個別記載なし）,no,ok,D
area/tokyo/mikurajima/seido/2797,mikurajima,御蔵島村 障害者（児）日常生活用具給付・補装具費支給,"日常生活用具の徴収基準額(月額)は所得階層別:生活保護0円/非課税1,100円/C1 2,250円/D1 3,450円…D19全額。相談支援・移動支援事業は無料",no,ok,D
area/tokyo/hachijo/seido/2798,hachijo,八丈町 障害者（児）日常生活用具給付・補装具費支給,施行細則（手続・様式規定）で品目別基準額・自己負担割合の記載なし,no,no_amount,D
area/tokyo/ogasawara/seido/2799,ogasawara,小笠原村 障害者（児）日常生活用具給付・補装具費支給,日常生活用具(52品目)・補装具とも世帯の所得に応じた自己負担ありとの記載のみで具体的金額・基準額なし,no,no_amount,D
area/tokyo/komae/seido/1391,komae,補装具の交付と修理,"補装具購入(修理)費の1割が自己負担。負担上限月額:生活保護0円/市民税非課税0円/課税37,200円。市民税所得割額46万円以上は対象外（種目別基準額の個別記載なし）",no,ok,D
area/tokyo/komae/seido/2656,komae,狛江市 高齢者自立支援日常生活用具の給付,生活保護:免除、世帯全員市民税非課税:1割、市民税課税所得者あり:2割。基準額と購入価格の低い額に割合を乗じた額＋基準額超過分が利用者負担（品目別基準額は別表PDF別掲）,no,ok,D
area/tokyo/katsushika/seido/1801,katsushika,帯状疱疹ワクチン予防接種費用助成,自己負担なし（無料）。生ワクチン・不活化ワクチンとも無料,0,ok,E
area/tokyo/higashikurume/seido/1816,higashikurume,帯状疱疹ワクチン予防接種費用助成,"生ワクチン(ビケン)自己負担4,000円×1回／不活化ワクチン(シングリックス)自己負担10,000円×2回（計20,000円）。生活保護等は免除",4000,ok,E
area/tokyo/aogashima/seido/881,aogashima,高齢者肺炎球菌予防接種費助成,例規ページが取得不可（404/403）で金額を確認できず,,fetch_failed,E
area/tokyo/aogashima/seido/1828,aogashima,帯状疱疹ワクチン予防接種費用助成,村公式トップページのみで具体的な金額の記載なし,,no_amount,E
area/tokyo/musashimurayama/seido/1817,musashimurayama,帯状疱疹ワクチン予防接種費用助成,"生ワクチン自己負担4,000円×1回／不活化ワクチン自己負担11,000円×2回（計22,000円）。生活保護等は全額公費",4000,ok,E
area/tokyo/hachioji/seido/2982,hachioji,八王子市 帯状疱疹ワクチン任意接種費用助成,"生ワクチン自己負担3,960円／不活化ワクチン自己負担11,000円（1回、助成限度額の範囲で助成）",3960,ok,E
area/tokyo/shinagawa/seido/147,shinagawa,麻しん・風しんワクチン任意接種費用の全額助成,自己負担なし（無料）。区内契約医療機関で1人2回まで全額助成,0,ok,E
area/tokyo/arakawa/seido/434,arakawa,風しん抗体検査及び予防接種費用助成,自己負担なし（区内協力医療機関では検査・接種とも無料）。区外は全額助成（償還払いは上限あり・額は非記載）,0,ok,E
area/tokyo/taito/seido/443,taito,麻しん抗体検査・予防接種費用助成,自己負担なし（無料）。区外受診は全額自己負担,0,ok,E
area/tokyo/taito/seido/1795,taito,帯状疱疹ワクチン予防接種費用助成,"生ワクチン(ビケン)自己負担4,000円×1回／不活化ワクチン(シングリックス)自己負担11,000円×2回。非課税等は無料",4000,ok,E
area/tokyo/taito/seido/422,taito,風しん抗体検査・風しん予防接種費用助成,自己負担なし（検査・接種とも無料）。区外受診は全額自己負担,0,ok,E
area/tokyo/tachikawa/seido/1803,tachikawa,帯状疱疹ワクチン予防接種費用助成,"生ワクチン(ビケン)自己負担4,000円×1回／不活化ワクチン(シングリックス)自己負担10,000円×2回。生活保護等は無料",4000,ok,E
area/tokyo/tachikawa/seido/2984,tachikawa,立川市 男性HPVワクチン任意接種助成,自己負担なし（接種費用は無料と記載、具体的な金額の明記なし）,0,ok,E
area/tokyo/kunitachi/seido/1812,kunitachi,帯状疱疹ワクチン予防接種費用助成,"生ワクチン(ビケン)自己負担4,000円／組換えワクチン(シングリックス)自己負担11,000円×2回。生活保護等は免除",4000,ok,E
area/tokyo/niijima/seido/1823,niijima,帯状疱疹ワクチン予防接種費用助成,src_urlが404（サイトリニューアル）。公式の具体金額を確認できず,,fetch_failed,E
area/tokyo/higashimurayama/seido/1811,higashimurayama,帯状疱疹ワクチン予防接種費用助成,ページが取得不可（403 Forbidden）で金額を確認できず,,fetch_failed,E
area/tokyo/chiyoda/seido/442,chiyoda,大人の麻しん抗体検査費用および予防接種費用助成,自己負担なし（抗体検査・予防接種とも無料）。予診票なしの自費受診は還付不可,0,ok,E
area/tokyo/chiyoda/seido/421,chiyoda,大人の風しん抗体検査費用および予防接種費用助成,自己負担なし（抗体検査・予防接種とも無料）,0,ok,E
area/tokyo/chuo/seido/104,chuo,中央区外の医療機関での定期予防接種の受け方,実際の支払額または区の助成上限額のいずれか少ない額を助成。上限額の具体的な金額は非記載,,no_amount,E
area/tokyo/chuo/seido/1792,chuo,帯状疱疹ワクチン予防接種費用助成,"生ワクチン(ビケン)自己負担4,000円×1回／不活化ワクチン(シングリックス)自己負担10,000円×2回。生活保護等は無料",4000,ok,E
area/tokyo/chuo/seido/110,chuo,長期療養等のために定期予防接種が受けられなかった方への特例,具体的な金額の記載なし（既に自費で接種したものは対象外との注記のみ）,,no_amount,E
area/tokyo/musashino/seido/1804,musashino,帯状疱疹ワクチン予防接種費用助成,"生ワクチン(ビケン)自己負担4,500円×1回／組換えワクチン(シングリックス)自己負担11,000円×2回。生活保護世帯は免除",4500,ok,E
area/tokyo/itabashi/seido/398,itabashi,風しん抗体検査・予防接種（妊娠希望者等）,自己負担なし（抗体検査・予防接種とも無料・全額公費負担）,0,ok,E
area/tokyo/itabashi/seido/1799,itabashi,帯状疱疹ワクチン予防接種費用助成,"生ワクチン(ビケン)自己負担4,000円×1回／組換えワクチン(シングリックス)自己負担11,000円×2回。生活保護等は無料",4000,ok,E
area/tokyo/kita/seido/441,kita,麻しん・風しん任意予防接種,ページに具体的な自己負担額・助成額の記載なし,,no_amount,E
area/tokyo/kita/seido/420,kita,風しん抗体検査・予防接種費用助成,自己負担なし（抗体検査・予防接種とも全額助成・窓口支払なし）,0,ok,E
area/tokyo/kita/seido/1798,kita,帯状疱疹ワクチン予防接種費用助成,"生ワクチン(ビケン)自己負担4,000円×1回／不活化ワクチン(シングリックス)自己負担11,000円×2回。生活保護等は免除",4000,ok,E
area/tokyo/suginami/seido/413,suginami,風しん抗体検査・予防接種費用助成,"抗体検査は無料。予防接種は妊娠希望女性は無料／同居者は風しんワクチン3,000円・MRワクチン5,000円の自己負担",3000,ok,E
area/tokyo/suginami/seido/1789,suginami,帯状疱疹ワクチン予防接種費用助成,"生ワクチン(ビケン)自己負担4,000円×1回／組換えワクチン(シングリックス)自己負担11,000円×2回。生活保護等は無料",4000,ok,E
area/tokyo/oshima/seido/1550,oshima,風しん抗体検査・予防接種費用助成,自己負担なし（無料）,0,ok,E
area/tokyo/oshima/seido/1551,oshima,おたふくかぜワクチン任意接種費用助成,自己負担なし（全額町が負担、具体的な金額は非記載）,0,ok,E
area/tokyo/adachi/seido/1800,adachi,帯状疱疹ワクチン予防接種費用助成,"定期接種は無料／任意接種(50-64歳)は生ワクチン5,000円助成×1回・不活化ワクチン10,000円/回助成×2回",0,ok,E
area/tokyo/fussa/seido/3035,fussa,福生市 帯状疱疹ワクチン任意接種費用の助成,"生ワクチン助成上限4,000円×1回／不活化ワクチン助成上限10,000円/回×2回（任意接種費用－定期自己負担額で算出、上限まで）",4000,ok,E
area/tokyo/hamura/seido/1820,hamura,帯状疱疹ワクチン予防接種費用助成,"生ワクチン助成4,000円／不活化ワクチン助成10,000円×2回（医療機関の接種費用から助成額を差引）。生活保護等は全額免除",4000,ok,E
area/tokyo/kozushima/seido/1826,kozushima,帯状疱疹ワクチン予防接種費用助成,保健医療課の概要ページのみで具体的な金額の記載なし,,no_amount,E
area/tokyo/setagaya/seido/404,setagaya,大人の風しん抗体検査・予防接種の費用助成,"抗体検査は無料。予防接種はMRワクチン5,000円助成・風しん単独ワクチン3,000円助成（差額自己負担）。生活保護等は無料",3000,ok,E
area/tokyo/hino/seido/1810,hino,帯状疱疹ワクチン予防接種費用助成,"生ワクチン自己負担4,400円×1回／不活化ワクチン自己負担11,000円×2回（計22,000円）",4400,ok,E
area/tokyo/toshimamura/seido/1825,toshimamura,帯状疱疹ワクチン予防接種費用助成,利島村診療所の概要ページのみで具体的な金額の記載なし,,no_amount,E
area/tokyo/toshimamura/seido/1461,toshimamura,高齢者肺炎球菌予防接種,福祉事業一覧に列挙のみで具体的な金額の記載なし,,no_amount,E
area/tokyo/miyake/seido/1824,miyake,帯状疱疹ワクチン予防接種費用助成,福祉健康課の概要ページのみで具体的な金額の記載なし,,no_amount,E
area/tokyo/toshima/seido/1797,toshima,帯状疱疹ワクチン予防接種費用助成,"生ワクチン(ビケン)自己負担4,000円×1回／不活化ワクチン(シングリックス)自己負担11,000円×2回。生活保護等は無料",4000,ok,E
area/tokyo/nishitokyo/seido/2986,nishitokyo,西東京市 小児インフルエンザ任意予防接種費用助成,src_urlが取得不可（404）で公式の助成額を確認できず,,fetch_failed,E
area/tokyo/inagi/seido/1819,inagi,帯状疱疹ワクチン予防接種費用助成,"生ワクチン(ビケン)自己負担4,000円×1回／不活化ワクチン(シングリックス)自己負担10,000円×2回。生活保護等は全額公費",4000,ok,E
area/tokyo/kiyose/seido/1815,kiyose,帯状疱疹ワクチン予防接種費用助成,"生ワクチン(ビケン)自己負担4,500円×1回／組換えワクチン(シングリックス)自己負担11,000円×2回。生活保護等は無料",4500,ok,E
area/tokyo/mikurajima/seido/1827,mikurajima,帯状疱疹ワクチン予防接種費用助成,村公式サイトが取得不可（403 Forbidden）で金額を確認できず,,fetch_failed,E
area/tokyo/nerima/seido/414,nerima,風しん抗体検査・予防接種費用助成,自己負担なし（抗体検査・予防接種とも自己負担なし）。対象は妊娠希望女性・その同居者等,0,ok,E
area/tokyo/hachijo/seido/1822,hachijo,帯状疱疹ワクチン予防接種費用助成,src_urlが取得不可（404）で金額を確認できず,,fetch_failed,E
area/tokyo/ogasawara/seido/1829,ogasawara,帯状疱疹ワクチン予防接種費用助成,村民課の概要ページのみで具体的な金額の記載なし,,no_amount,E
area/tokyo/komae/seido/1813,komae,帯状疱疹ワクチン予防接種費用助成,"生ワクチン自己負担4,000円×1回／不活化ワクチン自己負担10,000円×2回（計20,000円）。生活保護世帯は無料",4000,ok,E
area/tokyo/kokubunji/seido/3030,kokubunji,国分寺市 帯状疱疹予防接種費用助成（市独自）,"組換えワクチン(シングリックス)助成10,000円/回（2回接種）／生ワクチン(ビケン)助成5,000円（1回）。差額自己負担、医療機関で費用が異なる",5000,ok,E
area/tokyo/katsushika/seido/1630,katsushika,妊婦健康診査費用助成,"令和8年度受診分：1回目11,670円／2～14回目5,460円／超音波検査5,300円／子宮頸がん検診3,400円。妊婦健診14回・超音波4回・子宮頸がん1回。多胎は追加5回","1回目11,670円/2～14回目5,460円（14回）",fixed,F
area/tokyo/ota/seido/1617,ota,妊婦健康診査費用助成,受診票で一定金額を上限に助成と記載のみで具体的金額なし,,no_amount,F
area/tokyo/bunkyo/seido/1619,bunkyo,妊婦健康診査費用助成,一定金額を助成する制度との記載のみで具体的金額なし,,no_amount,F
area/tokyo/higashikurume/seido/1651,higashikurume,妊婦健康診査費用助成,受診票14回分交付の記載のみ。各回上限額の記載なし,,no_amount,F
area/tokyo/tama/seido/1653,tama,妊婦健康診査費用助成,助成14回・検査内容の記載のみ。上限額の記載なし,,no_amount,F
area/tokyo/musashimurayama/seido/1652,musashimurayama,妊婦健康診査費用助成,src_url 404。検索でも金額特定できず,,fetch_failed,F
area/tokyo/ome/seido/1635,ome,妊婦健康診査費用助成,"1回目11,670円／2～14回目5,460円／超音波5,300円／子宮頸がん3,400円／新生児聴覚3,000円。妊婦健診14回。基本健診上限合計約82,880円","1回目11,670円/2～14回目5,460円（14回）",fixed,F
area/tokyo/okutama/seido/2211,okutama,奥多摩町 不妊治療費の助成（子ども・子育て支援推進事業）,"不妊検査：1年あたり上限50,000円／不妊治療：1年あたり上限150,000円。食事療養費・差額ベッド代・文書料は対象外",不妊検査5万円/年・不妊治療15万円/年（上限）,fixed,F
area/tokyo/minato/seido/101,minato,里帰り等により都外医療機関で受診した妊婦健康診査等の費用の一部助成,助成金額は妊婦健康診査ページ参照との案内のみで具体的金額なし,,no_amount,F
area/tokyo/akiruno/seido/1656,akiruno,妊婦健康診査費用助成,"令和8年度：1回目11,670円／2～14回目各5,460円／超音波5,300円／子宮頸がん3,400円。14回","1回目11,670円/2～14回目5,460円（14回）",fixed,F
area/tokyo/hachioji/seido/1632,hachioji,妊婦健康診査費用助成,子育て応援サイト参照との記載のみで具体的金額なし,,no_amount,F
area/tokyo/kodaira/seido/1640,kodaira,妊婦健康診査費用助成,"令和8年度：1回目11,670円／2～14回目5,460円／超音波5,300円／子宮頸がん3,400円。14回","1回目11,670円/2～14回目5,460円（14回）",fixed,F
area/tokyo/shinagawa/seido/1622,shinagawa,妊婦健康診査費用助成,"令和8年度：1回目11,670円／2回目以降5,460円（13回）／超音波5,300円／子宮頸がん3,400円／新生児聴覚3,000円／産婦5,000円（2回）／1ヶ月児6,000円","1回目11,670円/2回目以降5,460円（14回）",fixed,F
area/tokyo/shinjuku/seido/1614,shinjuku,妊婦健康診査費用助成,受診票14回分等の交付記載のみで具体的金額なし,,no_amount,F
area/tokyo/akishima/seido/1636,akishima,妊婦健康診査費用助成,妊婦健康診査ページへのリンクのみで具体的金額なし,,no_amount,F
area/tokyo/arakawa/seido/1627,arakawa,妊婦健康診査費用助成,対象検査項目・回数の記載のみで上限額の記載なし,,no_amount,F
area/tokyo/taito/seido/1620,taito,妊婦健康診査費用助成,"令和8年度：1回目11,670円／2～14回目5,460円／超音波5,300円／子宮頸がん3,400円。14回","1回目11,670円/2～14回目5,460円（14回）",fixed,F
area/tokyo/shibuya/seido/1612,shibuya,妊婦健康診査費用助成,受診票14回分等の記載のみで具体的金額なし,,no_amount,F
area/tokyo/tachikawa/seido/1633,tachikawa,妊婦健康診査費用助成,14回公費との記載のみで上限額の記載なし,,no_amount,F
area/tokyo/kunitachi/seido/2888,kunitachi,国立市 不妊治療費助成事業,"治療ステージA40,000円／B50,000円／C・F15,000円／D・E30,000円／精巣内精子生検採取法等30,000円（都助成への継ぎ足し・受付終了）",ステージ別上限4万～1.5万円（受付終了）,fixed,F
area/tokyo/kunitachi/seido/1646,kunitachi,妊婦健康診査費用助成,受診票枚数の記載のみで具体的金額なし,,no_amount,F
area/tokyo/chiyoda/seido/1618,chiyoda,妊婦健康診査費用助成,受診票14枚等の記載のみ。金額は東京都福祉局HP参照,,no_amount,F
area/tokyo/chuo/seido/462,chuo,妊婦健康診査,助成回数（14回等）の記載のみで具体的上限額なし,,no_amount,F
area/tokyo/mitaka/seido/1634,mitaka,妊婦健康診査費用助成,"1回目11,670円／2～14回目5,460円／超音波5,300円（4回）／子宮頸がん3,400円。14回","1回目11,670円/2～14回目5,460円（14回）",fixed,F
area/tokyo/musashino/seido/1644,musashino,妊婦健康診査費用助成,"令和7年4月1日から：1回目11,280円／2回目以降5,280円／超音波5,300円／子宮頸がん3,400円／新生児聴覚3,000円。14回","1回目11,280円/2回目以降5,280円（14回）※令和7年度",fixed,F
area/tokyo/itabashi/seido/1628,itabashi,妊婦健康診査費用助成,"公費負担額：1回目11,670円／2～14回目5,460円（受診票ごとの負担額を掲載）","1回目11,670円/2～14回目5,460円（14回）",fixed,F
area/tokyo/itabashi/seido/3016,itabashi,板橋区 里帰り出産等による妊婦健康診査等助成金,"令和8年度：妊婦健診1回目11,670円／2～14回目5,460円（最大13回）／超音波5,300円（最大4回）／子宮頸がん3,400円／新生児聴覚3,000円／産婦5,000円（最大2回）／1か月児6,000円。申請は出産日から1年以内","1回目11,670円/2～14回目5,460円（14回）",fixed,F
area/tokyo/kita/seido/2191,kita,北区特定不妊治療費（先進医療）助成（都助成への上乗せ）,都の先進医療助成を受けた夫婦への上乗せ補助との説明のみで具体的金額なし,,no_amount,F
area/tokyo/kita/seido/1626,kita,妊婦健康診査費用助成,"令和8年度：1回目11,670円／2～14回目5,460円／超音波5,300円（4回）／子宮頸がん3,400円。14回","1回目11,670円/2～14回目5,460円（14回）",fixed,F
area/tokyo/suginami/seido/1613,suginami,妊婦健康診査費用助成,費用の一部を助成する旨の記載のみで具体的金額なし,,no_amount,F
area/tokyo/hinode/seido/1659,hinode,妊婦健康診査費用助成,費用の一部を補助と記載のみで具体的金額なし（詳細はPDF）,,no_amount,F
area/tokyo/oshima/seido/1661,oshima,妊婦健康診査費用助成,都内契約医療機関で一部無料との記載のみで具体的金額なし,,no_amount,F
area/tokyo/meguro/seido/1623,meguro,妊婦健康診査費用助成,妊婦健診14回・超音波4回・子宮頸がん1回公費負担との記載のみで上限額なし,,no_amount,F
area/tokyo/edogawa/seido/1631,edogawa,妊婦健康診査費用助成,"令和7年4月1日から：1回目11,670円／2回目以降5,460円／超音波（経腹法）5,300円／子宮頸がん3,400円／多胎15～19回目5,460円。14回","1回目11,670円/2回目以降5,460円（14回）",fixed,F
area/tokyo/adachi/seido/1629,adachi,妊婦健康診査費用助成,受診票14回分等の記載のみで具体的上限額なし,,no_amount,F
area/tokyo/mizuho/seido/1658,mizuho,妊婦健康診査費用助成,助成金には上限額ありとの記載のみで具体的金額なし,,no_amount,F
area/tokyo/machida/seido/1637,machida,妊婦健康診査費用助成,医療費助成制度リンク一覧のみで妊婦健診の具体的金額なし,,no_amount,F
