page,benefit_content,status
area/tokyo/sumida/seido/1486,"帯状疱疹ワクチン接種費用を助成(生ワクチン4,000円/1回、不活化ワクチン10,000円/2回分)。区に住民登録のある50歳以上が対象で生涯一度限り。",ok
area/tokyo/sumida/seido/409,マイナポータルを通じ区外への転出届をオンラインで提出でき窓口来庁が原則不要になるサービス。転入手続きの窓口記入も簡略化される。,ok
area/tokyo/hinohara/seido/1529,新規に住宅を建設・購入する若年世帯に建物価格の15%(転入世帯10%、最大100万円)を助成、親世帯が村に1年以上居住なら100万円上乗せ。夫婦合計90歳未満(転入・単身は50歳未満)が対象。,ok
area/tokyo/hino/seido/1013,"民間賃貸住宅の家賃を月額10,000円助成(家賃3万円未満は家賃の3分の1)。市内に3年以上居住する65歳以上のみの世帯で前年収入が基準額以内の方が対象。",ok
area/tokyo/hino/seido/1014,手すり取付・段差解消・床材変更・扉取替・便器洋式化などの住宅改修費を予防給付で最大20万円、設備給付で最大37.9万円助成。市内在住65歳以上で日常生活動作に困難があり改修効果が認められる方が対象。,ok
area/tokyo/miyake/seido/1540,"100歳到達時に祝金100,000円を支給(記念品の記載なし)。基準日(毎年9月1日)現在で村に10年以上住所を有し、年度内に100歳到達する者が対象。",ok
area/tokyo/miyake/seido/1538,"紙おむつ等購入費を助成(要介護3〜5は月額4,000円、その他は月額3,000円限度)する費用助成。村内65歳以上の要介護認定者で紙おむつが必要かつ住民税非課税の方が対象(生活保護・入院・施設入所者を除く)。",ok
area/tokyo/higashiyamato/seido/1226,高卒認定試験合格のための講座受講費用の一部を支給(通信制最大15万円、通学最大30万円)、受講開始・修了・合格の3段階で給付。市内在住で20歳未満の扶養児童がいるひとり親の親またはその子が対象。,ok
area/tokyo/toshima/seido/251,"月80点(8,000円相当)を上限にカタログから選んだ紙おむつ等を月1回配布する現物支給。要介護1以上で介護保険料所得段階第1〜5段階、常時おむつが必要な在宅の区民が対象。",ok
area/tokyo/toshima/seido/253,手すり取付・段差解消・床材変更・扉取替・便器洋式化や浴槽・流し等の設備改修工事費を助成(限度額20万〜38万円程度)。区内在住65歳以上が認定状況に応じて対象、介護保険の住宅改修と重複する工事は対象外。,ok
area/tokyo/toshima/seido/252,"入院中のおむつ購入費等を月8,000円上限に申請月分から助成する費用助成(現物支給ではない)。区内在住で要介護1以上・介護保険料所得段階1〜8段階のうち医療機関入院中で常時紙おむつが必要な方が対象。",ok
area/tokyo/toshima/seido/120,"区内大学のカウンセリング機関利用時に1回2,000円まで(年24回まで)の費用助成。区内在住で発達障害に起因した社会生活上の困難を主訴とする本人または家族が対象。",ok
area/tokyo/nishitokyo/seido/1313,"市と契約するタクシー事業者・NPO法人で使えるタクシー券を月額3,000円相当分交付。市内在住で身体障害者手帳1〜3級または愛の手帳1〜3度の方が対象(所得制限あり)。",ok
area/tokyo/nishitokyo/seido/1289,エアコン購入等の経費を助成(低所得世帯・被保護世帯とも最大10万円)。市内居住の住民税非課税世帯・児童扶養手当受給世帯・生活保護世帯で自宅にエアコンがない、または故障で冷房が使えない方が対象。,ok
area/tokyo/kiyose/seido/1142,浴槽の取替え・洗面台/流しの取替え・洋式便器への取替えなど介護保険対象外部分の費用を助成。在宅の65歳以上で要支援1・2または要介護1〜5の認定を受け改修が必要と認められ所得制限内の方が対象。,ok
area/tokyo/kiyose/seido/1157,段差解消・手すり設置などバリアフリー工事の費用を給付。学齢児以上65歳未満で下肢または体幹障害3級以上、もしくは補装具で車いす交付を受けた内部障害者が対象。,ok
area/tokyo/kiyose/seido/1152,"公正証書等作成経費(最大43,000円)、養育費保証契約締結経費(初回保証料最大50,000円)、ADR費用、戸籍抄本等取得経費を助成。市内在住の離婚ひとり親で取り決め経費を負担し対象の子を扶養する者が対象。",ok
area/tokyo/kiyose/seido/1143,"月6,000円を上限に紙おむつ等を業者が直接自宅に届ける現物支給。市内在住65歳以上で寝たきり等・常時おむつが必要・要介護3以上・住民税非課税の方が対象。",ok
area/tokyo/nerima/seido/457,"区指定製品から利用者が選んだ紙おむつを月1回配達する現物支給(利用者約1割負担)、入院中は月額上限5,400円のおむつ代を支給。区の介護保険被保険者で要介護1以上、常時おむつが必要、所得320万円以下の方が対象。",ok
area/tokyo/nerima/seido/571,"タクシー利用に使えるこども商品券を1世帯あたり年間24,000円相当交付。練馬区民で3歳未満の多胎児を同一世帯で養育する保護者が対象。",ok
area/tokyo/nerima/seido/502,東京都認定ベビーシッターの利用料の一部を補助。突発的事情や社会参加等で一時的に保育が必要な保護者が対象、小学3年生まで(障害児は小6まで)で年度当たり児童1人144時間まで(障害児・ひとり親・多胎児は288時間)。,ok
area/tokyo/nerima/seido/1496,"安全基準認証(SG・JCF・CE・GS・CPSC)済みの新品ヘルメットを協力店で購入する際、1個につき2,000円(価格が2,000円未満なら販売価格)を助成。区内在住であれば年齢制限なく対象。",ok
area/tokyo/nerima/seido/41,第3子以降の出生児童1人につき祝金10万円を支給(記念品なし)。区内在住で子と同居養育し、出生日の1年以上前から区内に住民登録している保護者が対象。,ok
area/tokyo/nerima/seido/414,風しん抗体検査費用を全額助成し、抗体不足が判明した場合は予防接種費用も全額助成。区に住民登録のある19歳以上で妊娠を希望する女性またはその同居者が対象。,ok
area/tokyo/hachijo/seido/1453,手すり取付・段差解消・床材変更・扉取替・洋式便器化など自宅で安全に生活するための改修工事費を1住宅20万円上限に9割または8割支給。要介護・要支援認定を受けた被保険者が対象、工事着工前の事前申請が必須。,ok
area/tokyo/kokubunji/seido/1521,"帯状疱疹の組換えワクチン(2回接種、1回10,000円助成)または生ワクチン(1回接種、5,000円助成)の接種費用を助成。市に住民登録のある50歳以上が対象で、定期接種は65・70・75・80・85・90・95・100歳等の特定年齢層。",ok
