page,municipality,title,amount_text,status,chunk
area/tokyo/hachijo/seido/2638,hachijo,八丈町 高齢者福祉用具貸与,,no_amount,S
area/tokyo/ogasawara/seido/1465,ogasawara,介護保険福祉用具購入費・住宅改修費支給申請,,no_amount,S
area/tokyo/ogasawara/seido/893,ogasawara,介護予防・生活支援事業,食事サービス1食400円／ほがらかサービス30分毎400円／高齢者生活支援サービス30分毎200円（夜間・早朝250円）,ok,S
area/tokyo/ogasawara/seido/876,ogasawara,ベビーシッター利用支援事業（一時預かり利用支援）,,no_amount,S
area/tokyo/ogasawara/seido/3062,ogasawara,小笠原村 高齢者運賃割引（おがさわら丸 島外受診）,,no_amount,S
area/tokyo/ogasawara/seido/2943,ogasawara,小笠原村 高齢者集合住宅（緊急通報システム・見守り）,,no_amount,S
area/tokyo/komae/seido/2851,komae,狛江市 高齢者配食サービス（見守り・安否確認付き）,,no_amount,S
area/tokyo/komae/seido/2172,komae,狛江市奨学資金,,fetch_failed,S
area/tokyo/komae/seido/1393,komae,重度心身障害者（児）家族介護用品支給,,no_amount,S
area/tokyo/kokubunji/seido/1908,kokubunji,産後ケア事業,"通所（デイサービス）型2,800円/日／短期入所（ショートステイ）型6,000円（1泊2日、2泊目以降4,000円/泊）／居宅訪問（アウトリーチ）型1,800円/回",ok,S
